Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Profit,Order year,Order Month,Order Weekday,Order_Ship_Days
Australia and Oceania,Federated States of Micronesia,Snacks,Online,C,407,152.58,97.44,22441.98,2012,9,sun,42 days
Europe,Bulgaria,Clothes,Online,L,6313,109.28,35.84,463626.72,2010,8,thur,20 days
Middle East and North Africa,Algeria,Personal Care,Online,H,9681,81.73,56.67,242605.86,2011,2,sat,17 days
Asia,Mongolia,Clothes,Online,L,515,109.28,35.84,37821.6,2015,12,fri,43 days
Central America and the Caribbean,Grenada,Cereal,Online,H,852,205.7,117.11,75478.68,2012,10,sat,16 days
Central America and the Caribbean,Grenada,Beverages,Online,M,9759,47.45,31.79,152825.94,2017,1,sun,49 days
Sub-Saharan Africa,Senegal,Beverages,Offline,M,8334,47.45,31.79,130510.44,2014,10,tue,13 days
North America,Greenland,Fruits,Offline,M,4709,9.33,6.92,11348.69,2012,1,mon,22 days
Sub-Saharan Africa,Chad,Meat,Offline,H,9043,421.89,364.69,517259.6,2016,1,tue,49 days
Sub-Saharan Africa,Mauritius ,Personal Care,Online,C,8529,81.73,56.67,213736.74,2016,1,thur,6 days
Middle East and North Africa,Morocco,Beverages,Offline,C,2391,47.45,31.79,37443.06,2017,6,wed,22 days
Central America and the Caribbean,Honduras,Office Supplies,Online,H,6884,651.21,524.96,869105.0,2015,6,mon,9 days
Sub-Saharan Africa,Benin,Fruits,Online,L,293,9.33,6.92,706.13,2014,1,mon,47 days
Europe,Greece,Baby Food,Offline,M,7937,255.28,159.42,760840.82,2014,4,mon,0 days
Central America and the Caribbean,Jamaica,Beverages,Offline,L,7163,47.45,31.79,112172.58,2010,9,fri,50 days
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Online,M,2352,651.21,524.96,296940.0,2010,5,sat,12 days
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,H,9915,651.21,524.96,1251768.75,2013,10,wed,19 days
Central America and the Caribbean,Trinidad and Tobago,Vegetables,Offline,M,3294,154.06,90.93,207950.22,2011,3,sat,39 days
Europe,Sweden,Baby Food,Online,L,7963,255.28,159.42,763333.18,2016,8,sat,5 days
Europe,Belarus,Office Supplies,Online,L,6426,651.21,524.96,811282.5,2011,1,mon,38 days
Sub-Saharan Africa,Guinea-Bissau,Office Supplies,Offline,C,3221,651.21,524.96,406651.25,2014,5,tue,22 days
Asia,Mongolia,Beverages,Online,M,9913,47.45,31.79,155237.58,2013,8,fri,30 days
Middle East and North Africa,Turkey,Meat,Online,L,103,421.89,364.69,5891.6,2011,10,tue,46 days
Sub-Saharan Africa,Central African Republic,Snacks,Offline,L,4419,152.58,97.44,243663.66,2016,11,mon,45 days
Sub-Saharan Africa,Equatorial Guinea,Office Supplies,Offline,L,5523,651.21,524.96,697278.75,2015,4,thur,14 days
Asia,Laos,Beverages,Online,M,3107,47.45,31.79,48655.62,2013,3,thur,30 days
Europe,Armenia,Meat,Online,C,8896,421.89,364.69,508851.2,2010,8,sun,30 days
Europe,Greece,Household,Online,L,1643,668.27,502.54,272294.39,2012,1,wed,41 days
Middle East and North Africa,Israel,Personal Care,Offline,H,2135,81.73,56.67,53503.1,2015,8,tue,4 days
Asia,Bhutan,Meat,Online,H,8189,421.89,364.69,468410.8,2016,12,thur,48 days
Australia and Oceania,Vanuatu,Vegetables,Online,L,9654,154.06,90.93,609457.02,2012,5,wed,14 days
Sub-Saharan Africa,Burundi,Vegetables,Online,M,3410,154.06,90.93,215273.3,2010,11,tue,33 days
Europe,Ukraine,Cosmetics,Online,M,8368,437.2,263.33,1454944.16,2014,11,wed,49 days
Europe,Croatia,Beverages,Online,C,470,47.45,31.79,7360.2,2016,6,wed,42 days
Sub-Saharan Africa,Madagascar,Fruits,Online,L,7690,9.33,6.92,18532.9,2016,5,mon,7 days
Asia,Malaysia,Snacks,Offline,M,5033,152.58,97.44,277519.62,2012,10,fri,30 days
Asia,Uzbekistan,Office Supplies,Offline,L,9535,651.21,524.96,1203793.75,2012,3,fri,5 days
Europe,Italy,Office Supplies,Online,M,5263,651.21,524.96,664453.75,2011,1,tue,18 days
Asia,Nepal,Vegetables,Offline,C,8316,154.06,90.93,524989.08,2014,6,sun,17 days
Australia and Oceania,Fiji,Personal Care,Offline,H,1824,81.73,56.67,45709.44,2016,12,fri,39 days
Europe,Portugal,Office Supplies,Online,L,949,651.21,524.96,119811.25,2014,6,thur,32 days
Central America and the Caribbean,Panama,Cosmetics,Offline,H,7881,437.2,263.33,1370269.47,2015,3,mon,36 days
Europe,Belarus,Beverages,Offline,L,6846,47.45,31.79,107208.36,2013,4,tue,1 days
Sub-Saharan Africa,Botswana,Clothes,Offline,C,9097,109.28,35.84,668083.68,2015,3,sat,17 days
Sub-Saharan Africa,Tanzania,Personal Care,Online,M,7921,81.73,56.67,198500.26,2013,6,thur,38 days
Europe,Romania,Office Supplies,Offline,C,3636,651.21,524.96,459045.0,2013,1,sat,2 days
Sub-Saharan Africa,Mali,Cereal,Online,L,8590,205.7,117.11,760988.1,2012,3,fri,17 days
Sub-Saharan Africa,Central African Republic,Office Supplies,Offline,C,2163,651.21,524.96,273078.75,2014,4,thur,24 days
Sub-Saharan Africa,Niger,Baby Food,Online,M,5766,255.28,159.42,552728.76,2016,1,sat,29 days
Europe,Austria,Office Supplies,Online,L,7841,651.21,524.96,989926.25,2011,5,wed,27 days
Asia,India,Fruits,Online,H,8862,9.33,6.92,21357.42,2010,7,wed,24 days
Europe,Luxembourg,Baby Food,Offline,L,6335,255.28,159.42,607273.1,2013,8,thur,17 days
Sub-Saharan Africa,Cape Verde,Beverages,Offline,H,9794,47.45,31.79,153374.04,2013,10,tue,14 days
Europe,Sweden,Vegetables,Offline,M,5808,154.06,90.93,366659.04,2017,2,sat,14 days
Europe,Iceland,Meat,Offline,H,2975,421.89,364.69,170170.0,2015,3,thur,28 days
Middle East and North Africa,Qatar,Personal Care,Offline,L,6925,81.73,56.67,173540.5,2012,5,sat,2 days
Sub-Saharan Africa,South Sudan,Meat,Online,C,5319,421.89,364.69,304246.8,2013,9,sun,1 days
Europe,United Kingdom,Office Supplies,Online,M,2850,651.21,524.96,359812.5,2014,5,mon,25 days
Middle East and North Africa,Tunisia ,Cereal,Online,L,6241,205.7,117.11,552890.19,2010,4,thur,38 days
North America,United States of America,Office Supplies,Online,C,9247,651.21,524.96,1167433.75,2017,6,thur,40 days
Sub-Saharan Africa,Liberia,Cereal,Online,L,7653,205.7,117.11,677979.27,2015,2,sat,49 days
Sub-Saharan Africa,Eritrea,Snacks,Offline,L,4279,152.58,97.44,235944.06,2010,1,sun,16 days
Asia,South Korea,Fruits,Offline,L,3972,9.33,6.92,9572.52,2010,3,sat,10 days
Sub-Saharan Africa,Kenya,Clothes,Offline,M,8611,109.28,35.84,632391.84,2013,1,wed,36 days
Sub-Saharan Africa,Rwanda,Snacks,Online,M,2109,152.58,97.44,116290.26,2017,3,sun,12 days
Central America and the Caribbean,Cuba,Beverages,Offline,C,5408,47.45,31.79,84689.28,2011,1,sat,45 days
Middle East and North Africa,Libya,Cereal,Offline,M,1480,205.7,117.11,131113.2,2014,3,wed,4 days
Europe,Czech Republic,Snacks,Online,C,332,152.58,97.44,18306.48,2013,6,thur,50 days
Europe,Montenegro,Beverages,Offline,M,3999,47.45,31.79,62624.34,2011,9,sat,0 days
Europe,Montenegro,Clothes,Offline,M,1549,109.28,35.84,113758.56,2016,7,wed,19 days
Asia,Philippines,Baby Food,Online,L,4079,255.28,159.42,391012.94,2014,2,sat,28 days
Central America and the Caribbean,El Salvador,Clothes,Offline,L,9721,109.28,35.84,713910.24,2010,8,fri,37 days
Australia and Oceania,Tonga,Household,Online,M,8635,668.27,502.54,1431078.55,2013,1,sun,23 days
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,H,8014,81.73,56.67,200830.84,2010,9,wed,48 days
Middle East and North Africa,Afghanistan,Cereal,Online,M,7081,205.7,117.11,627305.79,2016,10,wed,38 days
Australia and Oceania,Tuvalu,Snacks,Offline,L,2091,152.58,97.44,115297.74,2011,3,tue,7 days
Sub-Saharan Africa,Sudan,Fruits,Online,L,1331,9.33,6.92,3207.71,2012,12,tue,36 days
Sub-Saharan Africa,Niger,Clothes,Online,M,117,109.28,35.84,8592.48,2015,9,tue,37 days
Sub-Saharan Africa,Gabon,Household,Offline,C,5798,668.27,502.54,960902.54,2013,11,sun,43 days
Australia and Oceania,East Timor,Vegetables,Offline,C,2755,154.06,90.93,173923.15,2014,8,sun,18 days
North America,United States of America,Clothes,Offline,C,7398,109.28,35.84,543309.12,2010,10,wed,47 days
Middle East and North Africa,Jordan,Vegetables,Offline,L,3170,154.06,90.93,200122.1,2015,6,fri,46 days
Europe,Cyprus,Snacks,Offline,H,5544,152.58,97.44,305696.16,2012,3,wed,50 days
Sub-Saharan Africa,Malawi,Vegetables,Online,L,7025,154.06,90.93,443488.25,2012,6,thur,27 days
Europe,Iceland,Personal Care,Online,M,2149,81.73,56.67,53853.94,2013,5,thur,14 days
Middle East and North Africa,Israel,Personal Care,Online,M,2484,81.73,56.67,62249.04,2016,12,fri,32 days
Middle East and North Africa,United Arab Emirates,Snacks,Offline,H,1629,152.58,97.44,89823.06,2011,3,sat,17 days
Asia,China,Cosmetics,Offline,L,213,437.2,263.33,37034.31,2011,9,wed,43 days
Sub-Saharan Africa,Kenya,Beverages,Online,M,897,47.45,31.79,14047.02,2012,5,thur,46 days
Middle East and North Africa,Somalia,Clothes,Offline,M,3374,109.28,35.84,247786.56,2011,11,mon,2 days
Australia and Oceania,Tonga,Beverages,Offline,L,9367,47.45,31.79,146687.22,2010,1,tue,2 days
Asia,Bangladesh,Baby Food,Online,H,7632,255.28,159.42,731603.52,2011,8,tue,21 days
Middle East and North Africa,Egypt,Beverages,Offline,M,8954,47.45,31.79,140219.64,2014,9,fri,50 days
Sub-Saharan Africa,Eritrea,Cereal,Offline,C,1150,205.7,117.11,101878.5,2014,9,tue,16 days
Sub-Saharan Africa,Swaziland,Office Supplies,Online,H,4071,651.21,524.96,513963.75,2015,9,fri,13 days
Asia,Vietnam,Baby Food,Online,C,4594,255.28,159.42,440380.84,2011,6,sun,21 days
Australia and Oceania,Marshall Islands,Snacks,Online,L,1632,152.58,97.44,89988.48,2012,1,wed,33 days
Asia,Taiwan,Household,Online,C,1127,668.27,502.54,186777.71,2017,1,sun,30 days
Europe,Ireland,Vegetables,Online,M,1052,154.06,90.93,66412.76,2012,3,sat,8 days
Sub-Saharan Africa,Rwanda,Meat,Offline,H,6413,421.89,364.69,366823.6,2010,7,sat,0 days
Europe,Sweden,Snacks,Online,M,4245,152.58,97.44,234069.3,2011,4,mon,3 days
Sub-Saharan Africa,Gabon,Snacks,Offline,M,8615,152.58,97.44,475031.1,2010,10,sat,2 days
Sub-Saharan Africa,South Africa,Baby Food,Online,L,5624,255.28,159.42,539116.64,2013,12,sat,45 days
Europe,United Kingdom,Clothes,Offline,C,8399,109.28,35.84,616822.56,2015,9,fri,18 days
Europe,Albania,Fruits,Offline,M,2104,9.33,6.92,5070.64,2011,9,fri,20 days
Asia,Malaysia,Snacks,Offline,H,8929,152.58,97.44,492345.06,2010,3,wed,41 days
Sub-Saharan Africa,Ghana,Household,Offline,L,3098,668.27,502.54,513431.54,2012,11,fri,31 days
Central America and the Caribbean,Cuba,Clothes,Offline,H,5867,109.28,35.84,430872.48,2011,2,tue,30 days
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,C,522,437.2,263.33,90760.14,2012,8,sun,40 days
Europe,Romania,Snacks,Offline,L,7379,152.58,97.44,406878.06,2014,8,wed,3 days
Europe,Portugal,Office Supplies,Online,L,8788,651.21,524.96,1109485.0,2015,8,tue,24 days
Europe,Macedonia,Beverages,Online,C,4129,47.45,31.79,64660.14,2011,3,sat,45 days
Asia,China,Beverages,Offline,C,4811,47.45,31.79,75340.26,2013,4,mon,21 days
Europe,Germany,Baby Food,Online,L,9279,255.28,159.42,889484.94,2015,11,thur,48 days
Europe,Ireland,Household,Online,M,8006,668.27,502.54,1326834.38,2014,1,thur,32 days
Europe,Poland,Office Supplies,Offline,M,8496,651.21,524.96,1072620.0,2015,4,wed,20 days
Sub-Saharan Africa,Namibia,Household,Online,H,285,668.27,502.54,47233.05,2013,1,sun,20 days
Asia,Uzbekistan,Personal Care,Offline,H,9942,81.73,56.67,249146.52,2013,2,mon,31 days
Sub-Saharan Africa,Zimbabwe,Meat,Online,M,6064,421.89,364.69,346860.8,2014,11,thur,12 days
Asia,Mongolia,Meat,Offline,M,4281,421.89,364.69,244873.2,2015,1,fri,14 days
Europe,Norway,Personal Care,Online,H,2256,81.73,56.67,56535.36,2011,2,wed,47 days
Middle East and North Africa,Oman,Snacks,Offline,M,4679,152.58,97.44,258000.06,2013,4,mon,12 days
Europe,Serbia,Cosmetics,Online,H,8275,437.2,263.33,1438774.25,2017,7,tue,24 days
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,H,6798,9.33,6.92,16383.18,2017,4,fri,34 days
Europe,Bulgaria,Baby Food,Online,M,6035,255.28,159.42,578515.1,2014,5,thur,7 days
Asia,Brunei,Baby Food,Online,H,8803,255.28,159.42,843855.58,2015,8,tue,49 days
Europe,Serbia,Snacks,Offline,C,9951,152.58,97.44,548698.14,2013,9,thur,24 days
Sub-Saharan Africa,Ghana,Cereal,Offline,M,1358,205.7,117.11,120305.22,2013,10,wed,39 days
Sub-Saharan Africa,Malawi,Cereal,Offline,M,6936,205.7,117.11,614460.24,2014,7,tue,10 days
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,L,7627,9.33,6.92,18381.07,2011,11,fri,48 days
Europe,Cyprus,Snacks,Offline,C,6405,152.58,97.44,353171.7,2010,3,wed,20 days
Central America and the Caribbean,Nicaragua,Cereal,Online,M,3274,205.7,117.11,290043.66,2011,7,sun,35 days
Europe,Estonia,Baby Food,Offline,C,271,255.28,159.42,25978.06,2011,1,fri,14 days
Europe,Estonia,Clothes,Online,C,6463,109.28,35.84,474642.72,2016,6,wed,18 days
Europe,Lithuania,Fruits,Offline,H,2949,9.33,6.92,7107.09,2013,12,mon,19 days
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,H,7859,421.89,364.69,449534.8,2017,3,tue,30 days
Europe,Czech Republic,Baby Food,Online,C,1353,255.28,159.42,129698.58,2010,7,thur,25 days
Sub-Saharan Africa,Cameroon,Snacks,Online,C,624,152.58,97.44,34407.36,2013,7,mon,16 days
Asia,Vietnam,Office Supplies,Online,H,4897,651.21,524.96,618246.25,2016,8,mon,31 days
Europe,Moldova ,Meat,Offline,L,424,421.89,364.69,24252.8,2014,12,mon,34 days
Middle East and North Africa,Bahrain,Office Supplies,Offline,L,5494,651.21,524.96,693617.5,2012,5,sun,1 days
Europe,Hungary,Household,Online,L,5423,668.27,502.54,898753.79,2017,7,mon,1 days
Australia and Oceania,Marshall Islands,Personal Care,Offline,L,7559,81.73,56.67,189428.54,2017,7,sat,12 days
Middle East and North Africa,Iraq,Office Supplies,Online,C,6283,651.21,524.96,793228.75,2011,9,thur,2 days
Europe,Albania,Vegetables,Online,H,8006,154.06,90.93,505418.78,2015,11,mon,2 days
Sub-Saharan Africa,Lesotho,Office Supplies,Online,H,6170,651.21,524.96,778962.5,2012,8,mon,31 days
Middle East and North Africa,Lebanon,Clothes,Offline,H,6249,109.28,35.84,458926.56,2015,12,sat,22 days
Europe,Hungary,Vegetables,Online,C,748,154.06,90.93,47221.24,2014,5,sat,45 days
Asia,Japan,Beverages,Online,H,4203,47.45,31.79,65818.98,2012,10,wed,34 days
Europe,Georgia,Office Supplies,Offline,L,8180,651.21,524.96,1032725.0,2013,3,tue,12 days
Europe,Estonia,Office Supplies,Online,C,6280,651.21,524.96,792850.0,2011,2,tue,16 days
Europe,Luxembourg,Household,Online,C,9131,668.27,502.54,1513280.63,2014,8,thur,17 days
Sub-Saharan Africa,Swaziland,Personal Care,Online,H,9396,81.73,56.67,235463.76,2017,7,wed,5 days
Europe,Romania,Clothes,Offline,C,6765,109.28,35.84,496821.6,2010,12,thur,3 days
Sub-Saharan Africa,Ethiopia,Personal Care,Offline,C,2964,81.73,56.67,74277.84,2010,1,tue,2 days
Sub-Saharan Africa,Chad,Office Supplies,Offline,C,6746,651.21,524.96,851682.5,2011,9,fri,29 days
Middle East and North Africa,Morocco,Office Supplies,Online,C,8898,651.21,524.96,1123372.5,2014,3,fri,23 days
North America,Mexico,Clothes,Online,H,7237,109.28,35.84,531485.28,2012,11,sat,13 days
Sub-Saharan Africa,Nigeria,Personal Care,Offline,H,1612,81.73,56.67,40396.72,2011,11,thur,41 days
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,L,8904,47.45,31.79,139436.64,2012,7,wed,38 days
Europe,Moldova ,Personal Care,Offline,H,8022,81.73,56.67,201031.32,2017,3,wed,46 days
Australia and Oceania,Solomon Islands,Personal Care,Online,H,4909,81.73,56.67,123019.54,2010,7,sun,48 days
Asia,India,Personal Care,Online,L,7539,81.73,56.67,188927.34,2015,12,wed,38 days
Sub-Saharan Africa,Burkina Faso,Office Supplies,Offline,M,917,651.21,524.96,115771.25,2016,5,sat,0 days
Australia and Oceania,Kiribati,Meat,Online,L,2079,421.89,364.69,118918.8,2010,11,tue,31 days
Middle East and North Africa,Israel,Meat,Offline,M,5093,421.89,364.69,291319.6,2010,12,tue,15 days
Sub-Saharan Africa,Comoros,Snacks,Offline,L,6056,152.58,97.44,333927.84,2014,1,wed,1 days
Middle East and North Africa,Iran,Baby Food,Offline,H,8099,255.28,159.42,776370.14,2014,12,wed,25 days
Asia,Vietnam,Cosmetics,Offline,L,6384,437.2,263.33,1109986.08,2016,12,fri,37 days
Central America and the Caribbean,Belize,Household,Online,M,3101,668.27,502.54,513928.73,2013,3,wed,24 days
Europe,Belarus,Personal Care,Offline,H,2476,81.73,56.67,62048.56,2012,12,fri,39 days
North America,United States of America,Baby Food,Offline,C,5763,255.28,159.42,552441.18,2015,2,thur,20 days
Europe,Poland,Beverages,Online,L,6247,47.45,31.79,97828.02,2012,3,tue,21 days
North America,Canada,Vegetables,Offline,L,4247,154.06,90.93,268113.11,2016,10,thur,32 days
Middle East and North Africa,Israel,Beverages,Offline,C,2111,47.45,31.79,33058.26,2011,12,wed,8 days
Middle East and North Africa,Lebanon,Household,Online,L,9219,668.27,502.54,1527864.87,2016,3,mon,43 days
Europe,Andorra,Baby Food,Online,L,6982,255.28,159.42,669294.52,2011,1,mon,41 days
Europe,Slovakia,Clothes,Online,L,3843,109.28,35.84,282229.92,2013,4,wed,47 days
Sub-Saharan Africa,Liberia,Fruits,Online,H,274,9.33,6.92,660.34,2010,5,mon,18 days
Central America and the Caribbean,Antigua and Barbuda ,Cereal,Offline,M,3782,205.7,117.11,335047.38,2017,6,sun,1 days
Asia,China,Personal Care,Online,L,3901,81.73,56.67,97759.06,2012,9,mon,4 days
Sub-Saharan Africa,Niger,Baby Food,Online,H,7200,255.28,159.42,690192.0,2017,3,tue,26 days
Europe,United Kingdom,Household,Offline,L,2278,668.27,502.54,377532.94,2015,1,tue,26 days
Asia,Bangladesh,Personal Care,Offline,M,4763,81.73,56.67,119360.78,2010,7,sun,3 days
Asia,Myanmar,Snacks,Online,L,2317,152.58,97.44,127759.38,2016,6,thur,20 days
Australia and Oceania,Tonga,Meat,Offline,M,9633,421.89,364.69,551007.6,2012,8,fri,28 days
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,C,3434,154.06,90.93,216788.42,2010,3,wed,39 days
Australia and Oceania,Nauru,Vegetables,Offline,M,7475,154.06,90.93,471896.75,2010,1,wed,6 days
Sub-Saharan Africa,Swaziland,Cereal,Online,L,7542,205.7,117.11,668145.78,2014,2,sun,46 days
Europe,Finland,Vegetables,Online,C,6452,154.06,90.93,407314.76,2014,1,mon,9 days
Australia and Oceania,Papua New Guinea,Household,Offline,L,9055,668.27,502.54,1500685.15,2010,2,sat,15 days
Sub-Saharan Africa,Mauritius ,Personal Care,Online,L,7230,81.73,56.67,181183.8,2015,2,tue,18 days
Sub-Saharan Africa,Mozambique,Office Supplies,Online,M,4888,651.21,524.96,617110.0,2012,6,wed,38 days
Europe,Bulgaria,Clothes,Online,L,2972,109.28,35.84,218263.68,2013,3,mon,29 days
Europe,Spain,Household,Online,C,4455,668.27,502.54,738327.15,2014,4,wed,13 days
Australia and Oceania,Vanuatu,Meat,Online,H,9341,421.89,364.69,534305.2,2017,7,tue,48 days
Europe,Belgium,Fruits,Offline,L,9669,9.33,6.92,23302.29,2010,10,mon,5 days
Europe,Belgium,Baby Food,Offline,L,4503,255.28,159.42,431657.58,2016,11,mon,45 days
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,L,4944,109.28,35.84,363087.36,2014,3,sun,40 days
Sub-Saharan Africa,Togo,Vegetables,Online,C,9121,154.06,90.93,575808.73,2016,8,wed,1 days
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,Offline,C,7196,81.73,56.67,180331.76,2016,1,sat,5 days
Sub-Saharan Africa,Republic of the Congo,Fruits,Offline,C,6360,9.33,6.92,15327.6,2016,10,thur,14 days
Middle East and North Africa,Libya,Baby Food,Offline,M,5837,255.28,159.42,559534.82,2016,12,fri,3 days
Australia and Oceania,East Timor,Vegetables,Online,C,1882,154.06,90.93,118810.66,2011,8,thur,38 days
Europe,Switzerland,Clothes,Offline,H,2782,109.28,35.84,204310.08,2012,3,thur,47 days
Australia and Oceania,Palau,Snacks,Offline,M,3853,152.58,97.44,212454.42,2012,4,thur,45 days
Middle East and North Africa,Jordan,Household,Online,M,2445,668.27,502.54,405209.85,2014,1,tue,11 days
Europe,Slovenia,Household,Online,H,2936,668.27,502.54,486583.28,2016,12,mon,15 days
Asia,South Korea,Baby Food,Online,L,1739,255.28,159.42,166700.54,2013,11,wed,36 days
Europe,Norway,Clothes,Online,H,2296,109.28,35.84,168618.24,2010,4,tue,45 days
Middle East and North Africa,Afghanistan,Baby Food,Online,M,80,255.28,159.42,7668.8,2012,7,sat,22 days
Asia,Bangladesh,Personal Care,Online,L,7597,81.73,56.67,190380.82,2016,10,fri,40 days
Sub-Saharan Africa,Guinea,Meat,Offline,M,9381,421.89,364.69,536593.2,2012,9,mon,32 days
Central America and the Caribbean,Cuba,Office Supplies,Offline,H,7002,651.21,524.96,884002.5,2017,7,sat,21 days
Europe,Russia,Cosmetics,Offline,C,4056,437.2,263.33,705216.72,2011,7,wed,43 days
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,L,1175,154.06,90.93,74177.75,2010,6,mon,21 days
Asia,South Korea,Office Supplies,Offline,M,1020,651.21,524.96,128775.0,2015,7,sat,43 days
Sub-Saharan Africa,Ghana,Baby Food,Offline,L,3282,255.28,159.42,314612.52,2010,8,thur,33 days
Central America and the Caribbean,Costa Rica,Office Supplies,Online,H,9685,651.21,524.96,1222731.25,2010,6,sat,32 days
Europe,Romania,Cereal,Online,C,8985,205.7,117.11,795981.15,2012,4,sat,15 days
Europe,Czech Republic,Cereal,Online,L,1967,205.7,117.11,174256.53,2014,2,wed,25 days
Europe,Liechtenstein,Household,Offline,L,6449,668.27,502.54,1068792.77,2011,7,sun,38 days
Sub-Saharan Africa,Seychelles ,Baby Food,Online,M,2279,255.28,159.42,218464.94,2016,2,wed,47 days
Middle East and North Africa,Somalia,Baby Food,Online,L,6338,255.28,159.42,607560.68,2014,1,thur,32 days
Australia and Oceania,Solomon Islands,Personal Care,Offline,H,7536,81.73,56.67,188852.16,2015,5,sat,37 days
Sub-Saharan Africa,Uganda,Clothes,Offline,C,1816,109.28,35.84,133367.04,2012,2,sun,43 days
Sub-Saharan Africa,Equatorial Guinea,Cereal,Offline,M,7151,205.7,117.11,633507.09,2012,9,thur,46 days
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,C,8547,651.21,524.96,1079058.75,2015,2,tue,28 days
Europe,Moldova ,Fruits,Offline,C,3039,9.33,6.92,7323.99,2010,11,mon,36 days
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,L,4695,154.06,90.93,296395.35,2011,7,tue,6 days
Central America and the Caribbean,Guatemala,Beverages,Offline,H,9614,47.45,31.79,150555.24,2014,7,fri,35 days
Sub-Saharan Africa,Swaziland,Meat,Online,M,924,421.89,364.69,52852.8,2014,8,sat,10 days
Asia,Maldives,Vegetables,Online,H,3789,154.06,90.93,239199.57,2015,2,tue,31 days
Asia,Thailand,Household,Online,H,399,668.27,502.54,66126.27,2016,9,tue,36 days
Sub-Saharan Africa,Sudan,Household,Online,C,4979,668.27,502.54,825169.67,2013,6,thur,25 days
Central America and the Caribbean,Costa Rica,Meat,Offline,L,8783,421.89,364.69,502387.6,2012,1,wed,39 days
Europe,Denmark,Beverages,Online,C,5098,47.45,31.79,79834.68,2012,5,mon,29 days
Sub-Saharan Africa,Angola,Cereal,Offline,C,4240,205.7,117.11,375621.6,2011,10,wed,39 days
Australia and Oceania,Papua New Guinea,Household,Online,M,8559,668.27,502.54,1418483.07,2016,4,tue,21 days
Asia,North Korea,Meat,Online,M,7435,421.89,364.69,425282.0,2014,1,sat,19 days
Central America and the Caribbean,El Salvador,Fruits,Online,C,2278,9.33,6.92,5489.98,2016,11,sat,39 days
Sub-Saharan Africa,Burkina Faso,Household,Online,M,1531,668.27,502.54,253732.63,2011,2,sun,24 days
Middle East and North Africa,Yemen,Baby Food,Online,C,5668,255.28,159.42,543334.48,2014,10,fri,33 days
Sub-Saharan Africa,Republic of the Congo,Beverages,Online,L,2193,47.45,31.79,34342.38,2012,6,sun,10 days
